Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Address,Street Name
13141822,02/10/2009 12:00:00 AM,02/17/2009 12:00:00 AM,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,344 WEST 11 STREET,WEST 11 STREET
13067304,01/31/2009 12:00:00 AM,02/03/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,233 SOUTH 3 STREET,SOUTH 3 STREET
14084832,06/01/2009 12:00:00 AM,06/10/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,364 EAST 9 STREET,EAST 9 STREET
14094324,06/02/2009 12:00:00 AM,06/04/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,74-29 64 PLACE,64 PLACE
14797135,09/04/2009 12:00:00 AM,11/17/2009 12:00:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,,
14168291,06/12/2009 12:00:00 AM,06/10/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,
13268770,03/01/2009 12:00:00 AM,04/06/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,RESIDENTIAL BUILDING,561 CHESTNUT STREET,CHESTNUT STREET
14537859,08/04/2009 12:00:00 AM,08/08/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,153 MAC DOUGAL STREET,MAC DOUGAL STREET
15119194,10/20/2009 12:00:00 AM,10/20/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,234 SPENCER STREET,SPENCER STREET
13193069,02/18/2009 12:00:00 AM,03/24/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,SMOKE-DETECTOR,RESIDENTIAL BUILDING,541 WEST 150 STREET,WEST 150 STREET
14410395,07/17/2009 12:00:00 AM,07/17/2009 12:00:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,1132 CLAY AVENUE,CLAY AVENUE
15081404,10/16/2009 12:00:00 AM,10/16/2009 12:00:00 AM,DOT,Department of Transportation,Sidewalk Condition,Dismiss Violation Owner Fixed,Sidewalk,2886 VICTORY BOULEVARD,VICTORY BOULEVARD
15453682,12/08/2009 12:00:00 AM,12/31/2009 12:00:00 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,,
13266735,03/01/2009 12:00:00 AM,04/14/2009 12:00:00 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,88-14 DORAN AVENUE,DORAN AVENUE
15163225,10/27/2009 12:00:00 AM,03/03/2011 12:00:00 AM,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,2248 EAST 27 STREET,EAST 27 STREET
13148515,02/10/2009 12:00:00 AM,02/11/2009 12:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,
14303932,07/01/2009 12:00:00 AM,07/09/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,647 FRANKLIN AVENUE,FRANKLIN AVENUE
14748751,08/28/2009 12:00:00 AM,08/29/2009 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,501 WEST 133 STREET,WEST 133 STREET
15201715,11/02/2009 12:00:00 AM,11/03/2009 12:00:00 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,259 HEMLOCK STREET,HEMLOCK STREET
13332991,03/10/2009 12:00:00 AM,06/11/2009 12:00:00 AM,DOB,Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,43 EAST 74 STREET,EAST 74 STREET
13880684,05/04/2009 12:00:00 AM,05/05/2009 12:00:00 AM,DSNY,A - Queens,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,175-03 140 AVENUE,140 AVENUE
13762157,04/21/2009 12:00:00 AM,04/24/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,1325 39 STREET,39 STREET
14098433,06/01/2009 12:00:00 AM,06/02/2009 12:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,
12931387,01/15/2009 12:00:00 AM,01/15/2009 12:00:00 AM,NYPD,New York City Police Department,Vending,In Prohibited Area,Street/Sidewalk,41-41 24 STREET,24 STREET
14375423,07/13/2009 12:00:00 AM,07/13/2009 12:00:00 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,58-40 MAIN STREET,MAIN STREET
13245066,02/25/2009 12:00:00 AM,03/03/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,1006 GERARD AVENUE,GERARD AVENUE
15242944,11/04/2009 12:00:00 AM,11/05/2009 12:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,
15391016,11/30/2009 12:00:00 AM,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,158-51 75 ROAD,75 ROAD
12850238,01/05/2009 12:00:00 AM,01/16/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,GAS,RESIDENTIAL BUILDING,56 MOTHER GASTON BOULEVARD,MOTHER GASTON BOULEVARD
13553384,04/13/2009 12:00:00 AM,05/15/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,102 BEACH 59 STREET,BEACH 59 STREET
12857073,01/06/2009 12:00:00 AM,01/06/2009 12:00:00 AM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,900 ANDERSON AVENUE,ANDERSON AVENUE
15466430,12/09/2009 12:00:00 AM,12/17/2009 12:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,
15475572,12/10/2009 12:00:00 AM,12/11/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,217 KNICKERBOCKER AVENUE,KNICKERBOCKER AVENUE
15249361,11/08/2009 12:00:00 AM,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power/Phone Lines,Street,2948 KINGSLAND AVENUE,KINGSLAND AVENUE
13786586,04/23/2009 12:00:00 AM,05/16/2009 12:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,2192 WHITE PLAINS ROAD,WHITE PLAINS ROAD
14202047,06/17/2009 12:00:00 AM,09/18/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,365 LENOX AVENUE,LENOX AVENUE
15537311,12/18/2009 12:00:00 AM,12/22/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,28-07 38 STREET,38 STREET
14345489,07/08/2009 12:00:00 AM,07/24/2009 12:00:00 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Non-Delivery Goods/Services,,361 EAST FORDHAM ROAD,EAST FORDHAM ROAD
13849672,05/01/2009 12:00:00 AM,05/22/2009 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,,110 THOMPSON STREET,THOMPSON STREET
13245923,02/25/2009 12:00:00 AM,02/26/2009 12:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,
14696594,08/21/2009 12:00:00 AM,08/28/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CABINETS,RESIDENTIAL BUILDING,3459 MICKLE AVENUE,MICKLE AVENUE
14137982,06/09/2009 12:00:00 AM,06/25/2009 12:00:00 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,,
13395585,03/19/2009 12:00:00 AM,04/09/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,1300 HOE AVENUE,HOE AVENUE
15015635,10/07/2009 12:00:00 AM,11/10/2009 12:00:00 AM,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,35-19 161 STREET,161 STREET
15086229,10/16/2009 12:00:00 AM,11/30/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,242 51 STREET,51 STREET
15492298,12/12/2009 12:00:00 AM,12/18/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,280 EAST 21 STREET,EAST 21 STREET
15856763,05/18/2009 12:00:00 AM,05/23/2009 12:00:00 AM,DOB,Department of Buildings,Emergency Response Team (ERT),After Hours Work - Illegal,,31 GARFIELD PLACE,GARFIELD PLACE
15373412,11/26/2009 12:00:00 AM,11/26/2009 12:00:00 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,1927 HOLLAND AVENUE,HOLLAND AVENUE
15012996,10/07/2009 12:00:00 AM,,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,264 WOODWARD AVENUE,WOODWARD AVENUE
12923798,01/14/2009 12:00:00 AM,01/23/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,40 EAST 65 STREET,EAST 65 STREET
15882316,09/30/2009 12:00:00 AM,10/01/2009 12:00:00 AM,DOB,Department of Buildings,Emergency Response Team (ERT),After Hours Work - Illegal,,1733 NORMAN STREET,NORMAN STREET
14545830,08/05/2009 12:00:00 AM,08/07/2009 12:00:00 AM,DOT,Department of Transportation,Sidewalk Condition,Curb Painted,Sidewalk,828 FAILE STREET,FAILE STREET
15484122,12/11/2009 12:00:00 AM,01/11/2010 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,105 QUINCY STREET,QUINCY STREET
13775870,04/23/2009 12:00:00 AM,05/09/2009 12:00:00 AM,DCA,Department of Consumer Affairs,Consumer Complaint,False Advertising,,936 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD
14975883,10/01/2009 12:00:00 AM,12/18/2009 12:00:00 AM,DOB,Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),,1372 EAST 12 STREET,EAST 12 STREET
13195537,02/18/2009 12:00:00 AM,02/26/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Defective Street Cut (WZZ1),,3221 AVENUE L,AVENUE L
15277321,11/12/2009 12:00:00 AM,11/12/2009 12:00:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,4714 13 AVENUE,13 AVENUE
15085584,10/16/2009 12:00:00 AM,10/23/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,250 EAST 29 STREET,EAST 29 STREET
13174411,02/15/2009 12:00:00 AM,02/20/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,116-40 126 STREET,126 STREET
14931921,09/25/2009 12:00:00 AM,09/28/2009 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,235 EAST 50 STREET,EAST 50 STREET
13464604,03/30/2009 12:00:00 AM,04/09/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,320 HARMAN STREET,HARMAN STREET
14480505,07/27/2009 12:00:00 AM,08/20/2009 12:00:00 AM,DEP,Department of Environmental Protection,Noise,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",,232 WEST END AVENUE,WEST END AVENUE
15600018,12/28/2009 12:00:00 AM,12/29/2009 12:00:00 AM,DPR,Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,Street,295 HEWES STREET,HEWES STREET
12947078,01/16/2009 12:00:00 AM,01/18/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,5511 5 AVENUE,5 AVENUE
14083047,06/01/2009 12:00:00 AM,08/02/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,231 EAST 76 STREET,EAST 76 STREET
14606032,08/09/2009 12:00:00 AM,08/25/2009 12:00:00 AM,DSNY,A - Staten Island,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,462 STOBE AVENUE,STOBE AVENUE
15132590,10/22/2009 12:00:00 AM,12/29/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,1703 MADISON STREET,MADISON STREET
14800401,09/05/2009 12:00:00 AM,09/08/2009 12:00:00 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,,
13437773,03/25/2009 12:00:00 AM,04/02/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,,
14904174,09/21/2009 12:00:00 AM,10/26/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,740 EAST 88 STREET,EAST 88 STREET
14949593,09/28/2009 12:00:00 AM,11/28/2009 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,2161A WHITEPLAINS ROAD,WHITEPLAINS ROAD
14225390,06/20/2009 12:00:00 AM,06/24/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,2957 NOSTRAND AVENUE,NOSTRAND AVENUE
12989808,01/21/2009 12:00:00 AM,01/23/2009 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,3206 3 AVENUE,3 AVENUE
14894679,09/19/2009 12:00:00 AM,09/20/2009 12:00:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Search (SC2),,1158 EAST 58 STREET,EAST 58 STREET
