Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Address,Street Name
12824180,01/01/2009 12:00:00 AM,01/08/2009 12:00:00 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,,
12830884,01/02/2009 12:00:00 AM,01/02/2009 12:00:00 AM,DCA,Department of Consumer Affairs,DCA / DOH New License Application Request,General Street Vendor License,,,
12843471,01/04/2009 12:00:00 AM,02/17/2009 12:00:00 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,,
12829863,01/01/2009 12:00:00 AM,01/05/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Multiple Street Lights Out,,,
12837486,01/02/2009 12:00:00 AM,01/02/2009 12:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Head,,,
12830959,01/02/2009 12:00:00 AM,01/09/2009 12:00:00 AM,DCA,Department of Consumer Affairs,DCA / DOH New License Application Request,General Street Vendor License,,,
12829196,01/01/2009 12:00:00 AM,01/01/2009 12:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,
12829208,01/01/2009 12:00:00 AM,01/01/2009 12:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,
12829233,01/01/2009 12:00:00 AM,01/01/2009 12:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,
12829250,01/01/2009 12:00:00 AM,01/02/2009 12:00:00 AM,DSNY,BCC - Bronx,Snow,15I Street Condition Ice-Non Storm,Street, EAST 158 STREET,EAST 158 STREET
12853364,01/05/2009 12:00:00 AM,01/05/2009 12:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,
12838860,01/03/2009 12:00:00 AM,03/03/2009 12:00:00 AM,DPR,Department of Parks and Recreation,Animal in a Park,Dead Animal,Park,,
12837405,01/02/2009 12:00:00 AM,01/13/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,,
12843127,01/04/2009 12:00:00 AM,01/04/2009 12:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,
12843140,01/03/2009 12:00:00 AM,01/03/2009 12:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,
12841331,01/03/2009 12:00:00 AM,01/05/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,
12843095,01/03/2009 12:00:00 AM,01/03/2009 12:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,
12843274,01/03/2009 12:00:00 AM,01/03/2009 12:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,
12837283,01/02/2009 12:00:00 AM,01/13/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Multiple Street Lights Out,,,
