Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Address,Street Name
15405077,12/01/2009 12:00:00 AM,12/04/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,1087 KELLY STREET,KELLY STREET
13475843,04/01/2009 12:00:00 AM,04/01/2009 12:00:00 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,2510 BOSTON ROAD,BOSTON ROAD
13930644,05/11/2009 12:00:00 AM,05/19/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,RESIDENTIAL BUILDING,1820 GRAND CONCOURSE,GRAND CONCOURSE
14496844,07/29/2009 12:00:00 AM,07/29/2009 12:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,
12926918,01/14/2009 12:00:00 AM,02/27/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,363 MARION STREET,MARION STREET
15489438,12/13/2009 12:00:00 AM,12/13/2009 12:00:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,78 READE STREET,READE STREET
14438933,07/21/2009 12:00:00 AM,07/21/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,
13276114,03/02/2009 12:00:00 AM,03/01/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,
14717058,08/24/2009 12:00:00 AM,08/25/2009 12:00:00 AM,DSNY,Bronx 04,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,,
13947777,05/13/2009 12:00:00 AM,05/14/2009 12:00:00 AM,DSNY,BCC - Brooklyn South,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,602 OCEAN PARKWAY,OCEAN PARKWAY
14816460,09/08/2009 12:00:00 AM,09/18/2009 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,105-13 LIBERTY AVENUE,LIBERTY AVENUE
15426817,12/04/2009 12:00:00 AM,12/04/2009 12:00:00 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,709 JEFFERSON AVENUE,JEFFERSON AVENUE
14304418,07/01/2009 12:00:00 AM,07/01/2009 12:00:00 AM,DSNY,BCC - Queens West,Missed Collection (All Materials),2 Bulk-Missed Collection,Sidewalk,71-11 71 PLACE,71 PLACE
15850975,02/23/2009 12:00:00 AM,02/23/2009 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,164 EAST 56 STREET,EAST 56 STREET
14240566,06/23/2009 12:00:00 AM,06/24/2009 12:00:00 AM,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,,
13401565,03/19/2009 12:00:00 AM,03/20/2009 12:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,479 FULTON STREET,FULTON STREET
14625464,08/12/2009 12:00:00 AM,08/28/2009 12:00:00 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,,1100 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE
12893443,01/10/2009 12:00:00 AM,01/13/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,3444 KNOX PLACE,KNOX PLACE
13323530,03/09/2009 12:00:00 AM,03/17/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,990 PRESIDENT STREET,PRESIDENT STREET
15501176,12/14/2009 12:00:00 AM,01/04/2010 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,LOCKS,RESIDENTIAL BUILDING,25 VERMILYEA AVENUE,VERMILYEA AVENUE
