Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Address,Street Name
13435935,03/25/2009 12:00:00 AM,03/31/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,989 56 STREET,56 STREET
13926112,05/10/2009 12:00:00 AM,05/13/2009 12:00:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Other Animals (NR6)",,2041 WEST 7 STREET,WEST 7 STREET
14099980,06/03/2009 12:00:00 AM,06/08/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CABINETS,RESIDENTIAL BUILDING,151 WEIRFIELD STREET,WEIRFIELD STREET
12921189,01/14/2009 12:00:00 AM,01/15/2009 12:00:00 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,1462 ATLANTIC AVENUE,ATLANTIC AVENUE
12898745,01/11/2009 12:00:00 AM,01/13/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,72 EAST END AVENUE,EAST END AVENUE
13759585,04/21/2009 12:00:00 AM,05/04/2009 12:00:00 AM,DSNY,P - Commercial Recycling Citywide,Recycling Enforcement,ER5 Comm. Recyc. (Bldg Mgmt),Sidewalk,267 5 AVENUE,5 AVENUE
13771211,04/22/2009 12:00:00 AM,05/17/2009 12:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,
15225069,11/04/2009 12:00:00 AM,01/19/2010 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,,300 EAST 74 STREET,EAST 74 STREET
14184326,06/15/2009 12:00:00 AM,06/21/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,347 CHAUNCEY STREET,CHAUNCEY STREET
13490272,04/03/2009 12:00:00 AM,04/03/2009 12:00:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,,
12969263,01/19/2009 12:00:00 AM,01/22/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,RESIDENTIAL BUILDING,1817 BLEECKER STREET,BLEECKER STREET
14743713,08/28/2009 12:00:00 AM,08/31/2009 12:00:00 AM,DOT,Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,Street,,
13125408,02/08/2009 12:00:00 AM,02/08/2009 12:00:00 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,42-19 UNION STREET,UNION STREET
14328683,07/06/2009 12:00:00 AM,07/18/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,35 FT WASHINGTON AVENUE,FT WASHINGTON AVENUE
14444650,07/21/2009 12:00:00 AM,08/04/2009 12:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,39-15 212 STREET,212 STREET
15206173,11/02/2009 12:00:00 AM,12/28/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,446 WEST 46 STREET,WEST 46 STREET
13265506,02/28/2009 12:00:00 AM,03/27/2010 12:00:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),,166-29 17 AVENUE,17 AVENUE
14628895,08/12/2009 12:00:00 AM,08/21/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,26-45 9 STREET,9 STREET
14829103,09/10/2009 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,14 VAN RIPER STREET,VAN RIPER STREET
14061971,05/29/2009 12:00:00 AM,06/04/2009 12:00:00 AM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,71-15 260 STREET,260 STREET
13088245,02/03/2009 12:00:00 AM,02/04/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,34 WINTER AVENUE,WINTER AVENUE
14771723,09/01/2009 12:00:00 AM,09/21/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,RESIDENTIAL BUILDING,125 EAST 18 STREET,EAST 18 STREET
15629421,12/31/2009 12:00:00 AM,01/29/2010 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,280 MANHATTAN AVENUE,MANHATTAN AVENUE
15111529,10/19/2009 12:00:00 AM,10/19/2009 12:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,
12933224,01/15/2009 12:00:00 AM,01/21/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,390 EAST 153 STREET,EAST 153 STREET
13956104,05/14/2009 12:00:00 AM,05/15/2009 12:00:00 AM,DSNY,BCC - Manhattan,Other Enforcement,E10 Obstruction (Street/Sidewalk),Sidewalk,90 UNIVERSITY PLACE,UNIVERSITY PLACE
15268299,11/10/2009 12:00:00 AM,11/19/2009 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,158 EAST BROADWAY,EAST BROADWAY
15047042,10/12/2009 12:00:00 AM,10/16/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,2074 WALLACE AVENUE,WALLACE AVENUE
14082578,06/01/2009 12:00:00 AM,06/25/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,2724 UNIVERSITY AVENUE,UNIVERSITY AVENUE
13070231,02/01/2009 12:00:00 AM,02/01/2009 12:00:00 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,1645 65 STREET,65 STREET
15153795,10/26/2009 12:00:00 AM,11/11/2009 12:00:00 AM,DCA,Department of Consumer Affairs,Consumer Complaint,False Advertising,,44 COURT STREET,COURT STREET
15331106,11/19/2009 12:00:00 AM,11/28/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,RESIDENTIAL BUILDING,143 EAST 23 STREET,EAST 23 STREET
14942399,09/26/2009 12:00:00 AM,09/28/2009 12:00:00 AM,DSNY,P - Commercial Recycling Citywide,Recycling Enforcement,ER5 Comm. Recyc. (Bldg Mgmt),Sidewalk,,
15519069,12/16/2009 12:00:00 AM,12/18/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,161-05 134 AVENUE,134 AVENUE
14492586,07/29/2009 12:00:00 AM,09/01/2009 12:00:00 AM,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,Street,2741 BATCHELDER STREET,BATCHELDER STREET
15877740,03/23/2009 12:00:00 AM,03/25/2009 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Adjacent Buildings Not Protected,,81-05 135 STREET,135 STREET
15556668,12/21/2009 12:00:00 AM,01/08/2010 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,52 BRIGHTON AVENUE,BRIGHTON AVENUE
12942412,01/16/2009 12:00:00 AM,01/20/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,1982 LEXINGTON AVENUE,LEXINGTON AVENUE
13302425,03/05/2009 12:00:00 AM,04/27/2009 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,91-28 218 STREET,218 STREET
12962569,01/18/2009 12:00:00 AM,01/23/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,47 WEST 74 STREET,WEST 74 STREET
15857852,02/04/2009 12:00:00 AM,02/23/2009 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,5602 AVENUE N,AVENUE N
13323456,03/09/2009 12:00:00 AM,03/12/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,610 TRINITY AVENUE,TRINITY AVENUE
14473753,07/27/2009 12:00:00 AM,08/27/2009 12:00:00 AM,DPR,Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,Street,42-33 248 STREET,248 STREET
14668532,08/19/2009 12:00:00 AM,08/19/2009 12:00:00 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,90-57 53 AVENUE,53 AVENUE
13493463,04/03/2009 12:00:00 AM,04/04/2009 12:00:00 AM,DSNY,A - Queens,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,51-04 KISSENA BOULEVARD,KISSENA BOULEVARD
13138889,02/10/2009 12:00:00 AM,02/12/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,26 EBBITTS STREET,EBBITTS STREET
15158311,10/26/2009 12:00:00 AM,10/27/2009 12:00:00 AM,DSNY,Queens West 04,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,84-44 GRAND AVENUE,GRAND AVENUE
13225677,02/23/2009 12:00:00 AM,03/06/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,706 RIVERSIDE DRIVE,RIVERSIDE DRIVE
13330366,03/10/2009 12:00:00 AM,04/10/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,VENTILATION SYSTEM,RESIDENTIAL BUILDING,111 WEST 28 STREET,WEST 28 STREET
14518888,08/01/2009 12:00:00 AM,08/21/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,RESIDENTIAL BUILDING,125 EAST 19 STREET,EAST 19 STREET
