Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Address,Street Name
12979227,01/20/2009 12:00:00 AM,01/21/2009 12:00:00 AM,DSNY,BCC - Queens West,Missed Collection (All Materials),1C Uncollected Xmas Trees,Sidewalk,65-30 38 AVENUE,38 AVENUE
13292959,03/04/2009 12:00:00 AM,03/27/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,RESIDENTIAL BUILDING,150 EAST 18 STREET,EAST 18 STREET
14899426,09/21/2009 12:00:00 AM,09/21/2009 12:00:00 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,2312 65 STREET,65 STREET
15442581,12/07/2009 12:00:00 AM,12/08/2009 12:00:00 AM,DOT,Department of Transportation,Sidewalk Condition,Dismiss Violation Owner Fixed,Sidewalk,275 VANDERBILT AVENUE,VANDERBILT AVENUE
13299496,03/05/2009 12:00:00 AM,03/24/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,RESIDENTIAL BUILDING,240 EAST 175 STREET,EAST 175 STREET
15080693,10/15/2009 12:00:00 AM,10/18/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,38-01 149 STREET,149 STREET
13550707,04/13/2009 12:00:00 AM,05/15/2009 12:00:00 AM,DOT,Department of Transportation,Street Sign - Missing,"No Parking, Standing, Stopping",Street,87-42 166 STREET,166 STREET
15358227,11/23/2009 12:00:00 AM,11/24/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,
12948749,01/16/2009 12:00:00 AM,03/01/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,644 RIVERSIDE DRIVE,RIVERSIDE DRIVE
14431634,07/20/2009 12:00:00 AM,07/27/2009 12:00:00 AM,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,163-60 22 AVENUE,22 AVENUE
