Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Address,Street Name
13374078,03/16/2009 12:00:00 AM,03/17/2009 12:00:00 AM,DSNY,BCC - Brooklyn South,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,346 AVENUE P,AVENUE P
13935956,05/12/2009 12:00:00 AM,06/11/2009 12:00:00 AM,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Lifting Sidewalk,Street,701 SHELDON AVENUE,SHELDON AVENUE
13247282,02/25/2009 12:00:00 AM,02/25/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,113001 75 AVENUE,75 AVENUE
13042621,01/28/2009 12:00:00 AM,02/03/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,1050 LOWELL STREET,LOWELL STREET
13905912,05/07/2009 12:00:00 AM,06/01/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,325 EMPIRE BOULEVARD,EMPIRE BOULEVARD
13280647,03/03/2009 12:00:00 AM,03/05/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,1655 MONROE AVENUE,MONROE AVENUE
15001909,10/05/2009 12:00:00 AM,10/06/2009 12:00:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),,,
15506359,12/14/2009 12:00:00 AM,12/17/2009 12:00:00 AM,DOB,Department of Buildings,Boilers,Boiler - Fumes/Smoke/Carbon Monoxide,,1613 SECOND AVENUE,SECOND AVENUE
13129386,02/09/2009 12:00:00 AM,02/09/2009 12:00:00 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,,2111 BATH AVENUE,BATH AVENUE
13035510,01/27/2009 12:00:00 AM,01/27/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Cycling,,,
14821735,09/09/2009 12:00:00 AM,11/06/2009 12:00:00 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Broken Glass,Park,,
15557069,12/21/2009 12:00:00 AM,01/11/2010 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,273 LEE AVENUE,LEE AVENUE
13080288,02/02/2009 12:00:00 AM,01/30/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Cycling,,,
15049705,10/12/2009 12:00:00 AM,12/29/2009 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,55-25 69 STREET,69 STREET
14893154,09/19/2009 12:00:00 AM,09/20/2009 12:00:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,80-46 CORNISH AVENUE,CORNISH AVENUE
15458529,12/08/2009 12:00:00 AM,12/25/2009 12:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,223 EAST 89 STREET,EAST 89 STREET
