Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Address,Street Name
14005189,05/21/2009 12:00:00 AM,06/11/2009 12:00:00 AM,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Lifting Sidewalk,Street,1917 TENBROECK AVENUE,TENBROECK AVENUE
14413912,07/17/2009 12:00:00 AM,07/17/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,66 POST AVENUE,POST AVENUE
13854671,05/02/2009 12:00:00 AM,05/06/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,1250 FRANKLIN AVENUE,FRANKLIN AVENUE
13532672,04/09/2009 12:00:00 AM,04/17/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,1455 GRAND CONCOURSE,GRAND CONCOURSE
14659447,08/17/2009 12:00:00 AM,08/17/2009 12:00:00 AM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,,
13387467,03/18/2009 12:00:00 AM,04/02/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,160 WEST 73 STREET,WEST 73 STREET
13984630,05/18/2009 12:00:00 AM,05/26/2009 12:00:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,225-01 143 AVENUE,143 AVENUE
14012012,05/22/2009 12:00:00 AM,05/28/2009 12:00:00 AM,DOT,Department of Transportation,Street Sign - Damaged,Yield,Street,84-40 153 AVENUE,153 AVENUE
14405749,07/16/2009 12:00:00 AM,07/16/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,,
13519169,04/07/2009 12:00:00 AM,04/07/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,
14657381,08/17/2009 12:00:00 AM,08/24/2009 12:00:00 AM,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,100 MOTT STREET,MOTT STREET
14142717,06/09/2009 12:00:00 AM,06/03/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,
13421067,03/23/2009 12:00:00 AM,03/27/2009 12:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,
